store_id,earliest_date
1,2025-09-25
2,2025-09-25
3,2025-09-25
4,2025-11-19
5,2025-09-25
6,2025-09-25
7,2025-09-25
8,2025-09-25
9,2025-09-25
10,2025-09-25
11,2025-09-25
12,2025-09-25
13,2025-09-25
15,2025-09-25
16,2026-04-29
17,2025-11-19
18,2025-09-25
19,2025-09-25
21,2025-08-25
23,2025-09-25
24,2026-02-17
25,2025-09-25
26,2025-09-25
27,2025-09-25
28,2025-09-25
29,2025-09-25
30,2025-09-25
31,2025-09-25
32,2025-10-20
34,2025-12-25
35,2026-03-01
36,2026-03-28
37,2026-04-25
1001,2025-09-25
1002,2026-02-17
1003,2025-09-25
1004,2026-02-17
1005,2026-02-17
1006,2026-02-17
1007,2026-02-17
1008,2026-02-17
1009,2026-02-18
1010,2025-09-25
1011,2026-04-21
1012,2026-04-21
1013,2026-03-06
2001,2025-10-18
2003,2026-02-17
2004,2026-02-17
2006,2026-02-17
2007,2026-04-16
2008,2026-04-25
3001,2025-08-25
3002,2026-04-29
3003,2025-08-25
3004,2025-09-04
3005,2025-08-25
3006,2025-08-25
3007,2025-10-10
3008,2025-08-25
3009,2025-08-25
3010,2025-08-25
3011,2025-08-23
3012,2025-08-25
3013,2025-08-25
3014,2025-08-25
3015,2025-08-25
3016,2025-08-25
3017,2025-08-25
3018,2025-08-22
3019,2025-08-25
3020,2025-10-01
3021,2025-10-01
3022,2026-01-09
3023,2025-11-24
3024,2025-11-30
3025,2025-12-05
3026,2025-12-06
3027,2026-01-12
3028,2026-01-12
3029,2025-12-29
3030,2026-01-12
3031,2026-01-17
3032,2026-01-17
3033,2026-01-31
3034,2026-02-07
3035,2026-02-08
3036,2026-02-12
3037,2026-02-13
3038,2026-02-14
3039,2026-03-14
3040,2026-03-14
3041,2026-03-28
3042,2026-03-28
3043,2026-04-07
3044,2026-04-11
3045,2026-04-18
3046,2026-04-18
3047,2026-04-24
3048,2026-04-24
